name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Chennai,India",2023-05-14,37.7,29.7,33.1,46.2,34.8,41,25.2,64.9,0,0,0,,0,,50,28.1,262.5,1005.1,73.2,5.6,239.2,20.7,8,50,2023-05-14T05:43:47,2023-05-14T18:26:53,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
"Chennai,India",2023-05-15,36.5,29.7,32.7,47.6,37.5,43.4,27,72.9,0,0,0,,0,,34.2,19.6,254,1005.9,57,5.5,312.5,26.9,10,60,2023-05-15T05:43:32,2023-05-15T18:27:08,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
"Chennai,India",2023-05-16,38.2,30.1,33,46.1,38.9,42.7,26.4,69.9,0,0,0,,0,,41.4,20.3,279.4,1007.2,40.3,5.6,313.3,27.1,10,100,2023-05-16T05:43:18,2023-05-16T18:27:24,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
"Chennai,India",2023-05-17,35.5,30.6,32.2,53.1,40.2,44.3,27.9,78.5,0,0,0,,0,,41.4,21.4,242,1008.3,34.3,5.5,315.8,27.4,10,100,2023-05-17T05:43:04,2023-05-17T18:27:40,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
"Chennai,India",2023-05-18,35.2,29.4,31.6,49,36.9,42.6,27.6,79.7,0,0,0,,0,,45.4,19.2,233.5,1009.6,38.9,5.6,316.9,27.3,10,100,2023-05-18T05:42:52,2023-05-18T18:27:56,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,AUKJ"
"Chennai,India",2023-05-19,35.4,29.4,31.8,50.4,35.7,42,27.1,76.8,0,0,0,,0,,40.3,23.5,231.2,1008.3,26.5,6,318.1,27.5,10,100,2023-05-19T05:42:40,2023-05-19T18:28:13,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
"Chennai,India",2023-05-20,35.8,29.2,31.8,49,36.4,42.6,27.5,78.4,0,0,0,,0,,42.5,24.2,236.2,1007.6,26.6,6,317.3,27.2,10,100,2023-05-20T05:42:29,2023-05-20T18:28:29,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
"Chennai,India",2023-05-21,34.5,28,31.6,46.4,32.7,41.4,26.9,77.2,0,0,0,,0,,38.2,19.2,246.2,1008.7,53.8,5.6,313.9,27,10,100,2023-05-21T05:42:19,2023-05-21T18:28:46,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
"Chennai,India",2023-05-22,34.3,29.5,31.5,49.3,37.8,42.1,27.4,79.3,0,0,0,rain,0,,35.3,16,213.5,1009.5,46.4,5.5,313.9,27.1,10,100,2023-05-22T05:42:10,2023-05-22T18:29:03,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
"Chennai,India",2023-05-23,35.7,29.1,32,47,36.4,40.8,26.2,72.6,0,0,0,,0,,37.1,22.3,255.5,1009.5,28.8,6.4,310,26.6,10,100,2023-05-23T05:42:02,2023-05-23T18:29:21,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,AUKJ"
"Chennai,India",2023-05-24,36.5,29.5,32.4,47.5,34.9,41.3,26.1,70.4,0,0,0,,0,,39.6,18.9,210.9,1008.8,29.9,6.3,310.8,26.8,10,100,2023-05-24T05:41:55,2023-05-24T18:29:38,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,AUKJ"
"Chennai,India",2023-05-25,36.5,29.6,32.4,48.6,35.8,41,25.8,69,0,0,0,,0,,43.6,18.1,243.5,1008.8,41.9,5.8,309.7,26.7,10,100,2023-05-25T05:41:48,2023-05-25T18:29:56,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
"Chennai,India",2023-05-26,37.8,30.1,32.4,44.7,35,40.1,25.2,67.1,0,0,0,,0,,37.1,22.3,270.7,1009.3,45.1,6.2,279.9,24.2,9,100,2023-05-26T05:41:43,2023-05-26T18:30:14,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,AUKJ"
"Chennai,India",2023-05-27,36.6,29.1,32.5,46.3,33.7,40,25.2,66.2,0,0,0,,0,,29.2,23.9,259.4,1007.2,37.2,6.6,285.8,24.7,10,60,2023-05-27T05:41:38,2023-05-27T18:30:31,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
"Chennai,India",2023-05-28,37,30.3,32.5,47.8,37.5,42.4,26.7,72.4,0,0,0,,0,,38.5,21.4,232.8,1005.9,46.6,6,258.8,22.4,10,100,2023-05-28T05:41:34,2023-05-28T18:30:49,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,AUKJ"
"Chennai,India",2023-05-29,36.6,29.9,32.3,51,39.3,43.1,27.2,75.2,0,0,0,,0,,34.6,21.1,187.5,1006.4,41.8,5.9,316.1,27.2,10,100,2023-05-29T05:41:31,2023-05-29T18:31:07,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
"Chennai,India",2023-05-30,34.4,28.7,31,44.4,32.6,39.5,26.2,76.1,0,0,0,,0,,33.5,26.3,222.1,1007.7,40.6,5.8,289.4,24.8,9,100,2023-05-30T05:41:29,2023-05-30T18:31:25,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999,AUKJ"
"Chennai,India",2023-05-31,35.3,28.1,31.3,45.7,32.3,38.7,25.5,72.6,0,0,0,,0,,30.6,19.6,218.6,1007.3,27.4,6,291.5,25.2,9,60,2023-05-31T05:41:27,2023-05-31T18:31:44,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,AUCE,43278099999"
"Chennai,India",2023-06-01,37,29.5,32.4,47.8,36.4,41.7,26.4,71.8,0.1,100,4.17,rain,0,,36,23.1,227.9,991.5,32.4,5.6,279.2,24.1,9,100,2023-06-01T05:41:27,2023-06-01T18:32:02,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOMM,43279099999,AUCE,43278099999"
